!ENTER	sil
!EXIT	sil
^e	cc e
pljuskovima	p l j u s k o v i m a
poja~an	p o j a C a n
poja~at	p o j a C a t
poja~ati	p o j a C a t i
pomorskog	p o m o r s k o g
pomorskoga	p o m o r s k o g a
ponajprije	p o n a j p r i j e
ponegdje	p o n e g d j e
poneki	p o n e k i
porast	p o r a s t
poslijepodne	p o s l i j e p o d n e
postoji	p o s t o j i
postupni	p o s t u p n i
posve	p o s v e
pove^anu	p o v e cc a n u
povremeno	p o v r e m e n o
po~etku	p o C e t k u
prema	p r e m a
prete`ito	p r e t e Z i t o
prete`no	p r e t e Z n o
prognoza	p r o g n o z a
prolazno	p r o l a z n o
promjenjiva	p r o m j e n j i v a
promjenjivo	p r o m j e n j i v o
promjenjivom	p r o m j e n j i v o m
prvih	p r v i h
prvom	p r v o m
razdobljima	r a z d o b l j i m a
razvoj	r a z v o j
razvredravanje	r a z v r e d r a v a n j e
rijetki	r i j e t k i
s	s
sa	s a
samo	s a m o
sata	s a t a
sati	s a t i
se	s e
sedam	s e d a m
sedamnaest	s e d a m n a e s t
sjeverni	s j e v e r n i
sjevernog	s j e v e r n o g
sjevernom	s j e v e r n o m
sjevernome	s j e v e r n o m e
sjeveroisto~ni	s j e v e r o i s t o C n i
sjeverozapadni	s j e v e r o z a p a d n i
sjeverozapadnjak	s j e v e r o z a p a d n j a k
sjeverozapadnog	s j e v e r o z a p a d n o g
sjeveru	s j e v e r u
slab	s l a b
smanjena	s m a n j e n a
smirivanje	s m i r i v a n j e
smjera	s m j e r a
sparno	s p a r n o
split	s p l i t
sredine	s r e d i n e
sredi{njoj	s r e d i S n j o j
srednjeg	s r e d n j e g
srednjega	s r e d n j e g a
srednjem	s r e d n j e m
stabilno	s t a b i l n o
stupanj	s t u p a n j
stupnja	s t u p n j a
stupnjeva	s t u p n j e v a
su	s u
suho	s u h o
sumaglice	s u m a g l i c e
sun~anije	s u n C a n i j e
sun~anim	s u n C a n i m
sun~ano	s u n C a n o
sutra	s u t r a
svje`ije	s v j e Z i j e
te	t e
tek	t e k
temperatura	t e m p e r a t u r a
tiho	t i h o
tijekom	t i j e k o m
to	t o
toplije	t o p l i j e
toplo	t o p l o
tri	t r i
trideset	t r i d e s e t
trinaest	t r i n a e s t
tu~a	t u C a
u	u
udari	u d a r i
uglavnom	u g l a v n o m
ujutro	u j u t r o
umjeren	u m j e r e n
umjerena	u m j e r e n a
umjereni	u m j e r e n i
umjereno	u m j e r e n o
umjerenu	u m j e r e n u
unutra{njosti	u n u t r a S n j o s t i
upozorenje	u p o z o r e n j e
uz	u z
ve^em	v e cc e m
ve^inom	v e cc i n o m
vedro	v e d r o
vidljivost	v i d l j i v o s t
vjerojatnost	v j e r o j a t n o s t
vjetar	v j e t a r
vjetra	v j e t r a
vremenska	v r e m e n s k a
vremenu	v r e m e n u
vrlo	v r l o
vru^e	v r u cc e
za	z a
zapadnim	z a p a d n i m
zapadu	z a p a d u
zapuhat	z a p u h a t
zavoda	z a v o d a
zbog	z b o g
