!ENTER	[!ENTER]	sil
!EXIT	[!EXIT]	sil
^e	[^e]	cc e
osobito	[osobito]	o s o b i t o
otvorenom	[otvorenom]	o t v o r e n o m
otvorenome	[otvorenome]	o t v o r e n o m e
pet	[pet]	p e t
petnaest	[petnaest]	p e t n a e s t
pljusak	[pljusak]	p l j u s a k
pljuskove	[pljuskove]	p l j u s k o v e
pljuskovi	[pljuskovi]	p l j u s k o v i
pljuskovima	[pljuskovima]	p l j u s k o v i m a
poja~an	[poja~an]	p o j a C a n
poja~at	[poja~at]	p o j a C a t
poja~ati	[poja~ati]	p o j a C a t i
pomorskog	[pomorskog]	p o m o r s k o g
pomorskoga	[pomorskoga]	p o m o r s k o g a
ponajprije	[ponajprije]	p o n a j p r i j e
ponegdje	[ponegdje]	p o n e g d j e
poneki	[poneki]	p o n e k i
porast	[porast]	p o r a s t
poslijepodne	[poslijepodne]	p o s l i j e p o d n e
postoji	[postoji]	p o s t o j i
postupni	[postupni]	p o s t u p n i
posve	[posve]	p o s v e
pove^anu	[pove^anu]	p o v e cc a n u
povremeno	[povremeno]	p o v r e m e n o
po~etku	[po~etku]	p o C e t k u
prema	[prema]	p r e m a
prete`ito	[prete`ito]	p r e t e Z i t o
prete`no	[prete`no]	p r e t e Z n o
prognoza	[prognoza]	p r o g n o z a
prolazno	[prolazno]	p r o l a z n o
promjenjiva	[promjenjiva]	p r o m j e n j i v a
promjenjivo	[promjenjivo]	p r o m j e n j i v o
promjenjivom	[promjenjivom]	p r o m j e n j i v o m
prvih	[prvih]	p r v i h
prvom	[prvom]	p r v o m
razdobljima	[razdobljima]	r a z d o b l j i m a
razvoj	[razvoj]	r a z v o j
razvredravanje	[razvredravanje]	r a z v r e d r a v a n j e
rijetki	[rijetki]	r i j e t k i
s	[s]	s
sa	[sa]	s a
samo	[samo]	s a m o
sata	[sata]	s a t a
sati	[sati]	s a t i
se	[se]	s e
sedam	[sedam]	s e d a m
sedamnaest	[sedamnaest]	s e d a m n a e s t
sjeverni	[sjeverni]	s j e v e r n i
sjevernog	[sjevernog]	s j e v e r n o g
sjevernom	[sjevernom]	s j e v e r n o m
sjevernome	[sjevernome]	s j e v e r n o m e
sjeveroisto~ni	[sjeveroisto~ni]	s j e v e r o i s t o C n i
sjeverozapadni	[sjeverozapadni]	s j e v e r o z a p a d n i
sjeverozapadnjak	[sjeverozapadnjak]	s j e v e r o z a p a d n j a k
sjeverozapadnog	[sjeverozapadnog]	s j e v e r o z a p a d n o g
sjeveru	[sjeveru]	s j e v e r u
slab	[slab]	s l a b
smanjena	[smanjena]	s m a n j e n a
smirivanje	[smirivanje]	s m i r i v a n j e
smjera	[smjera]	s m j e r a
sparno	[sparno]	s p a r n o
split	[split]	s p l i t
sredine	[sredine]	s r e d i n e
sredi{njoj	[sredi{njoj]	s r e d i S n j o j
srednjeg	[srednjeg]	s r e d n j e g
srednjega	[srednjega]	s r e d n j e g a
srednjem	[srednjem]	s r e d n j e m
stabilno	[stabilno]	s t a b i l n o
stupanj	[stupanj]	s t u p a n j
stupnja	[stupnja]	s t u p n j a
stupnjeva	[stupnjeva]	s t u p n j e v a
su	[su]	s u
suho	[suho]	s u h o
sumaglice	[sumaglice]	s u m a g l i c e
sun~anije	[sun~anije]	s u n C a n i j e
sun~anim	[sun~anim]	s u n C a n i m
sun~ano	[sun~ano]	s u n C a n o
sutra	[sutra]	s u t r a
svje`ije	[svje`ije]	s v j e Z i j e
te	[te]	t e
tek	[tek]	t e k
temperatura	[temperatura]	t e m p e r a t u r a
tiho	[tiho]	t i h o
tijekom	[tijekom]	t i j e k o m
to	[to]	t o
toplije	[toplije]	t o p l i j e
toplo	[toplo]	t o p l o
tri	[tri]	t r i
trideset	[trideset]	t r i d e s e t
trinaest	[trinaest]	t r i n a e s t
tu~a	[tu~a]	t u C a
u	[u]	u
udari	[udari]	u d a r i
uglavnom	[uglavnom]	u g l a v n o m
ujutro	[ujutro]	u j u t r o
umjeren	[umjeren]	u m j e r e n
umjerena	[umjerena]	u m j e r e n a
umjereni	[umjereni]	u m j e r e n i
umjereno	[umjereno]	u m j e r e n o
umjerenu	[umjerenu]	u m j e r e n u
unutra{njosti	[unutra{njosti]	u n u t r a S n j o s t i
upozorenje	[upozorenje]	u p o z o r e n j e
uz	[uz]	u z
ve^em	[ve^em]	v e cc e m
ve^inom	[ve^inom]	v e cc i n o m
vedro	[vedro]	v e d r o
vidljivost	[vidljivost]	v i d l j i v o s t
vjerojatnost	[vjerojatnost]	v j e r o j a t n o s t
vjetar	[vjetar]	v j e t a r
vjetra	[vjetra]	v j e t r a
vremenska	[vremenska]	v r e m e n s k a
vremenu	[vremenu]	v r e m e n u
vrlo	[vrlo]	v r l o
vru^e	[vru^e]	v r u cc e
za	[za]	z a
zapadnim	[zapadnim]	z a p a d n i m
zapadu	[zapadu]	z a p a d u
zapuhat	[zapuhat]	z a p u h a t
zavoda	[zavoda]	z a v o d a
zbog	[zbog]	z b o g
